 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12
1213	1030.977	1532.098	2592.050	1462.648	1037.241	1801.122	834.562	1776.567	1321.250	743.926	2154.814	1322.459
1214	1096.250	1512.922	2342.275	1721.056	1076.444	1326.293	663.406	2262.133	1418.175	720.778	1479.465	1742.405
1215	1302.477	1898.863	2610.500	1978.056	2933.315	2269.707	966.531	1981.650	2583.850	854.889	2285.047	1817.378
1216	1290.614	1842.059	2392.200	1769.556	3543.537	2312.610	995.750	1826.617	2727.225	774.185	2232.860	1806.730
1217	1158.182	1616.333	2084.125	1552.167	3522.519	2269.098	1034.812	1596.417	2370.200	728.296	2155.186	1613.162
1218	1043.000	1441.569	1898.450	1335.296	3254.426	1965.854	960.375	1512.950	2123.000	638.259	1832.558	1447.135
1219	970.818	1284.804	1723.350	1169.963	3038.944	1759.561	945.188	1444.617	1937.150	601.000	1600.140	1413.784
1220	934.818	1213.745	1584.750	1031.500	2864.667	1631.122	904.531	1404.817	1828.250	566.296	1431.674	1354.865
1221	895.886	1153.843	1512.075	983.315	2652.185	1489.976	882.781	1434.300	1714.050	513.630	1264.302	1323.324
1222	852.477	1075.686	1403.175	882.167	2502.185	1281.171	783.438	1376.117	1558.150	480.333	1118.698	1206.378
1223	884.750	1072.059	1359.875	839.463	2471.963	1308.049	785.969	1481.583	1482.400	491.704	1036.163	1241.811
1224	859.523	1016.020	1258.025	797.167	2209.519	1247.146	723.812	1427.033	1318.650	451.407	928.209	1183.216
1225	792.159	984.706	1180.000	757.963	2093.222	1155.561	695.188	1355.717	1233.050	450.370	856.302	1153.216
1226	797.000	950.235	1137.350	743.352	1888.500	1054.610	667.312	1372.167	1185.900	441.111	787.791	1141.784
1227	790.432	913.961	1106.350	726.315	1699.222	1034.390	727.125	1328.433	1202.600	460.148	787.953	1125.054
1228	777.318	873.373	1064.400	719.000	1502.889	964.683	731.281	1263.417	1185.750	426.778	731.023	1088.243
1229	771.227	846.412	1049.875	696.796	1352.741	897.146	708.250	1200.317	1171.075	428.556	695.721	1062.676
1230	822.545	895.412	1108.200	1025.241	1395.056	911.000	804.312	1297.200	1234.075	473.852	748.395	1054.838
1231	1055.364	1140.490	1896.550	2358.000	1438.185	958.878	848.781	1593.783	1393.200	517.111	781.907	1219.162
1232	1079.159	1490.000	1955.400	2539.444	1487.093	1160.707	856.500	1478.950	1348.575	520.259	845.674	1218.135
1233	1087.114	1549.784	1802.875	2586.722	1322.111	1271.073	836.750	1341.683	1287.700	495.778	793.512	1192.054
1234	1045.477	1414.667	1602.000	2642.056	1203.630	1392.341	819.469	1254.733	1270.125	531.000	814.558	1191.243
